JIB_PACIJENTA,IME,PREZIME,ADRESA,JMBG,DATUM_RODJ,POL,BRACNO_STANJE,DATUM_PRIJEMA,BROJ_TEL_RODJAKA,BROJ_TEL_DR_OPSTE_PRAKSE,SRODSTVO_SOS_SA_PACIJENTOM
1,Trivun,Simatoviæ,"1. Maj BB, Foèa",2505731454415,5/25/1973,M,oženjen,8/1/2020,056/210-767,058/214-817,majka
2,Ratko,Plavljanin,"1. Maj BB, Foèa",1808168510839,8/18/2016,M,neoženjen,7/23/2020,056/260-249,058/214-817,prijatelj
3,Dojèilo,Šekularac,"17.Aprila B/1, Bratunac",0510122371592,10/5/2012,M,neoženjen,7/23/2020,056/260-711,056/490-417,otac
4,Anastas,Araðanin,"17.Aprila I-I7, Bratunac",1002152070893,2/10/2015,M,neoženjen,7/31/2020,056/480-141,056/490-417,majka
5,Radmilo,Serafimoviæ,"17.Aprila V, Bratunac",1908384090508,8/19/1938,M,oženjen,7/8/2020,056/480-174,056/490-417,žena
6,Simo,Janiæeviæ,"17.Aprila BB, Bratunac",2311888450570,11/23/1988,M,oženjen,7/12/2020,056/480-194,056/490-417,roðak
7,Josif,Graèanin,"29.novembra BB, Bratunac",0805513373538,5/8/1951,M,oženjen,7/27/2020,056/480-242,056/490-419,roðak
8,Bogosav,Gaševiæ,"Aleksina Meða BB, Trebinje",0904377816442,4/9/1937,M,oženjen,7/28/2020,056/480-248,+387 59 261-352,žena
9,Vladoje,Vujatoviæ,"Amajlije BB, Bijeljina",1309396372179,9/13/1939,M,oženjen,7/29/2020,056/480-291,055/416-016,roðak
10,Vujoš,Ilijiæ,"Amajlije BB, Bijeljina",2509958700780,9/25/1995,M,oženjen,7/2/2020,056/480-296,055/416-016,brat
11,Veran,Josimoviæ,Amajlije Novo,0510916494841,10/5/1991,M,oženjen,7/20/2020,056/480-299,055/416-016,žena
12,Borivoje,Poskurica,"Aranðelovo BB, Lastva",2601446149435,1/26/1944,M,oženjen,7/6/2020,056/480-300,+387 59 261-353,žena
13,Radun,Šabadin,"Baèiæi bb, Miliæi",1607594193970,7/16/1959,M,oženjen,7/13/2020,056/480-301,056/211-101,roðak
14,Rasim,Borikiæ,"Baèiæi bb, Miliæi",0505618809978,5/5/1961,M,oženjen,7/16/2020,056/480-304,056/211-101,roðak
15,Draško,Stankoviæ,"Bakraèiæi 2, Bijeljina",2707441333965,7/27/1944,M,oženjen,7/24/2020,056/480-305,055/416-016,sin
16,Vlatko,Grubanoviæ,"Bakraèiæi BB, Bijeljina",1905719946045,5/19/1971,M,oženjen,7/27/2020,056/480-542,055/416-016,rodica
17,Jona,Trivunèeviæ,"Balatun BB, Bijeljina",0806119113111,6/8/2011,M,neoženjen,7/27/2020,056/480-621,055/416-019,majka
18,Ostoja,Ðuriæ,"Balatun BB, Bijeljina",1203435306654,3/12/1943,M,oženjen,7/23/2020,056/480-622,055/416-016,brat
19,Tomica,Kovaèeviæ,"Balatun BB, Bijeljina",0211125508079,11/2/2012,M,neoženjen,7/15/2020,056/480-623,055/416-016,otac
20,Dukadin,Panduroviæ,"Baljevo Polje BB, Brod",2012025034054,12/20/2002,M,oženjen,7/8/2020,056/480-624,058/214-813,žena
21,Jovka,Živaniæ,"Banjevci BB, Trebinje",2110071447464,10/21/2007,M,neoženjen,7/25/2020,056/480-626,+387 59 261-353,brat
22,Arsen,Priljeva,"BaraKovaè BB, Foèa",2611472933018,11/26/1947,M,oženjen,7/13/2020,056/480-790,058/214-813,roðak
23,Jugoslav,Saviæ,"BaraKovaè BB, Foèa",3009558144235,9/30/1955,M,oženjen,7/31/2020,056/480-795,058/214-817,brat
24,Atanasije,Sanduloviæ,"Bare 16, Miliæi",0907524992380,7/9/1952,M,oženjen,7/2/2020,056/480-796,056/211-101,brat
25,Novak,Seèivanoviæ,"Bare 18, Miliæi",0310657189489,10/3/1965,M,oženjen,7/9/2020,056/480-797,056/211-101,rodica
26,Milanko,Sentin,"Bare 21, Miliæi",2505496076073,5/25/1949,M,oženjen,7/10/2020,056/480-798,056/211-101,brat
27,Stanoja,Buliæ,"Bare 65, Miliæi",0709727436886,9/7/1972,M,oženjen,7/17/2020,056/480-799,056/211-101,roðak
28,Anðelko,Macanoviæ,"Bare BB, Donja Pilica",2406662476221,6/24/1966,M,oženjen,7/26/2020,056/480-835,056/211-102,roðak
29,Novak,Božaniæ,"Bare bb, Miliæi, Miliæi",2710726326445,10/27/1972,M,oženjen,7/19/2020,056/480-836,056/211-101,roðak
30,Svetoslav,Jašoviæ,"Batkoviæ BB, Bijeljina",2505799286994,5/25/1979,M,oženjen,7/24/2020,056/480-838,055/416-016,roðak
