JIB_ZAPOSLENI,IME,PREZIME,ADRESA,BROJ_TEL,POL,DATUM_RODJ,JMBG,POZICIJA,TIP_UGOVORA,BROJ_RADNIH_SATI,ISPLATA_PLATE,SMJENA
1,Filip,Buckiæ,"Caparde BB, Caparde",065/237-795,M,12/11/1963,1112639374181,Magacioner,Za stalno,48,Mjeseèno,1
2,Rasim,Viciknez,"Caparde BB, Caparde",065/355-338,M,1/29/1972,2901721956333,Šef klinike,Na odreðeno,48,Mjeseèno,1
3,Branivoj,Pješèiæ,"Šeher BB, Osmaci",065/224-167,M,10/10/1972,1010722047768,Šef klinike,Na odreðeno,48,Mjeseèno,1
4,Jovica,Beševiæ,"Gornje Dubovo BB, Višegrad",065/243-010,M,9/17/1969,1709691975628,Šef klinike,Na odreðeno,48,Mjeseèno,1
5,Novak,Tomin,"Dubovo BB, Višegrad",065/355-059,M,11/20/1975,2011753280749,Šef klinike,Na odreðeno,48,Mjeseèno,1
6,Emilijan,Prahovljanoviæ,"Nikitoviæi BB, Višegrad",065/355-085,M,9/12/1961,1209619842641,Šef klinike,Na odreðeno,48,Mjeseèno,1
7,Rusin,Zipaloviæ,"Budimlije BB, Bijelo Brdo",065/355-411,M,8/3/1991,0308917173453,Šef klinike,Na odreðeno,48,Mjeseèno,1
8,Josif,Rauševiæ,"Budimlije BB, Bijelo Brdo",065/213-774,M,1/14/1962,1401628322506,Šef klinike,Na odreðeno,48,Mjeseèno,1
9,Berko,Bosniæ,"Ustipraèa BB, Novo Goražde",065/214-620,M,10/5/1969,0510698984398,Šef klinike,Na odreðeno,48,Mjeseèno,1
10,Veselin,Šponja,"Mašiæi BB, Novo Goražde",065/481-657,M,10/22/1994,2210945185022,Šef klinike,Na odreðeno,48,Mjeseèno,1
11,Grigorije,Jonèiæ,"Kozja Luka BB, Miljevina",065/481-663,M,8/8/1970,0808707290982,Šef klinike,Na odreðeno,48,Mjeseèno,1
12,Slavimir,Æiprovac,"Ivoviæi BB, Foèa",065/222-770,M,12/26/1992,2612922611583,Magacioner,Za stalno,48,Mjeseèno,2
13,Mario,Degoricija,"Duèiæeva BB, Foèa",065/311-162,M,1/24/1985,2401851821828,Magacioner,Za stalno,48,Mjeseèno,3
14,Bratimir,Utješanoviæ,"Duèiæeva BB, Foèa",065/311-146,M,7/13/1964,1307648358755,Vozaè,Za stalno,48,Mjeseèno,1
15,Gajin,Radanov,"Maše Hanjaliæa BB, Foèa",065/311-069,M,6/29/1967,2906677456419,Vozaè,Za stalno,48,Mjeseèno,2
16,Joakim,Duvnjak,"Maše Hanjaliæa BB, Foèa",065/311-147,M,10/23/1976,2310763776579,Vozaè,Za stalno,48,Mjeseèno,3
17,Dragašin,Jakovljev,"Soèice BB, Rogatica",065/303-112,M,3/3/1977,0303776249264,Vozaè,Za stalno,48,Mjeseèno,1
18,Damjan,Paviæ,"Markoviæ Kolo BB, Èajnièe",065/333-798,M,3/30/1973,3003736310662,Vozaè,Za stalno,48,Mjeseèno,2
19,Beloslav,Mladiæ,"Igumana Vasilija BB, Èajnièe",065/333-795,M,10/19/1969,1910692390030,Vozaè,Za stalno,48,Mjeseèno,3
20,Svetoje,Trnovac,"Vrasoliæi BB, Rogatica",065/224-284,M,9/8/1987,0809875481974,Vozaè,Za stalno,48,Mjeseèno,1
21,Ignjatije,Cimeša,"Vese Rackoviæa BB, Rogatica",065/241-090,M,6/6/1988,0606889653798,Vozaè,Za stalno,48,Mjeseèno,2
22,Cvetan,Stojakoviæ,"Kragujevaèka BB, Rudo",065/241-092,M,4/30/1978,3004785696063,Vozaè,Za stalno,48,Mjeseèno,3
23,Gradislav,Komljen,"Romanijska BB, Rudo",065/231-707,M,3/12/1986,1203868859890,Vozaè,Za stalno,48,Mjeseèno,1
24,Radoš,Cincar,"Medakovina BB, Bileæa",065/211-314,M,2/27/1968,2702685628974,Vozaè,Za stalno,48,Mjeseèno,2
25,Svetozar,Maklenoviæ,"Hilendarska BB, Bileæa",065/231-186,M,10/21/1966,2110661803571,Vozaè,Za stalno,48,Mjeseèno,3
26,Æirjak,Kerleta,"Kraljice Jelene 10, Gacko",065/333-103,M,10/11/1963,1110631675070,Vozaè,Za stalno,48,Mjeseèno,1
27,Živadin,Nikolešiæ,"Ustanièka 29, Trebinje",065/323-263,M,8/30/1992,3008927116533,Vozaè,Za stalno,48,Mjeseèno,2
28,Sreæko,Milkiæ,"Vidovdanska 5, Trebinje",065/233-252,M,10/17/1978,1710783297365,Vozaè,Za stalno,48,Mjeseèno,3
29,Dimitar,Æato,"Donje Police BB, Trebinje",065/303-116,M,4/30/1960,3004602655243,Vozaè,Za stalno,48,Mjeseèno,1
30,Milen,Tarana,"Luke Vukaloviæa BB, Trebinje",065/333-852,M,10/11/1984,1110846413943,Vozaè,Za stalno,48,Mjeseèno,2
31,Marjan,Motièiæ,"Zubaèka Ulica Br.4, Trebinje",065/333-277,M,2/24/1965,2402652241338,Vozaè,Za stalno,48,Mjeseèno,3
32,Slaven,Šehovac,"Zahumska Ulica 7, Trebinje",065/234-882,M,7/4/1987,0407875595205,Vozaè,Za stalno,48,Mjeseèno,1
33,Dren,Bosniæ,"Zubaèka Ulica 1, Trebinje",065/339-868,M,9/18/1971,1809714853335,Vozaè,Za stalno,48,Mjeseèno,2
